Round,Home,Home_Score,Away,Away_Score,Venue,Date,Match_Centre_URL,Home_Win,Year,Month,Day
Round 9,Wests Tigers,0,Dragons,0,Suncorp Stadium,2025-05-03 09:45:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-9/wests-tigers-v-dragons/,False,2025,5,3
Round 9,Titans,0,Bulldogs,0,Suncorp Stadium,2025-05-04 03:50:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-9/titans-v-bulldogs/,False,2025,5,4
Round 9,Panthers,0,Broncos,0,Suncorp Stadium,2025-05-04 06:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-9/panthers-v-broncos/,False,2025,5,4
Round 9,Storm,0,Raiders,0,Suncorp Stadium,2025-05-04 08:25:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-9/storm-v-raiders/,False,2025,5,4
Round 10,Eels,0,Dolphins,0,CommBank Stadium,2025-05-08 09:50:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-10/eels-v-dolphins/,False,2025,5,8
Round 10,Knights,0,Titans,0,McDonald Jones Stadium,2025-05-09 08:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-10/knights-v-titans/,False,2025,5,9
Round 10,Rabbitohs,0,Broncos,0,Accor Stadium,2025-05-09 10:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-10/rabbitohs-v-broncos/,False,2025,5,9
Round 10,Raiders,0,Bulldogs,0,GIO Stadium,2025-05-10 05:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-10/raiders-v-bulldogs/,False,2025,5,10
Round 10,Dragons,0,Warriors,0,WIN Stadium,2025-05-10 07:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-10/dragons-v-warriors/,False,2025,5,10
Round 10,Cowboys,0,Panthers,0,Queensland Country Bank Stadium,2025-05-10 09:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-10/cowboys-v-panthers/,False,2025,5,10
Round 10,Storm,0,Wests Tigers,0,AAMI Park,2025-05-11 04:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-10/storm-v-wests-tigers/,False,2025,5,11
Round 10,Sea Eagles,0,Sharks,0,4 Pines Park,2025-05-11 06:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-10/sea-eagles-v-sharks/,False,2025,5,11
Round 11,Knights,0,Eels,0,McDonald Jones Stadium,2025-05-16 08:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-11/knights-v-eels/,False,2025,5,16
Round 11,Bulldogs,0,Roosters,0,Accor Stadium,2025-05-16 10:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-11/bulldogs-v-roosters/,False,2025,5,16
Round 11,Dolphins,0,Warriors,0,Suncorp Stadium,2025-05-17 05:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-11/dolphins-v-warriors/,False,2025,5,17
Round 11,Cowboys,0,Sea Eagles,0,Queensland Country Bank Stadium,2025-05-17 07:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-11/cowboys-v-sea-eagles/,False,2025,5,17
Round 11,Sharks,0,Storm,0,Sharks Stadium,2025-05-17 09:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-11/sharks-v-storm/,False,2025,5,17
Round 11,Broncos,0,Dragons,0,Suncorp Stadium,2025-05-18 04:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-11/broncos-v-dragons/,False,2025,5,18
Round 11,Raiders,0,Titans,0,GIO Stadium,2025-05-18 06:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-11/raiders-v-titans/,False,2025,5,18
Round 11,Wests Tigers,0,Rabbitohs,0,Campbelltown Sports Stadium,2025-05-18 08:15:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-11/wests-tigers-v-rabbitohs/,False,2025,5,18
Round 12,Bulldogs,0,Dolphins,0,Accor Stadium,2025-05-22 09:50:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-12/bulldogs-v-dolphins/,False,2025,5,22
Round 12,Eels,0,Sea Eagles,0,CommBank Stadium,2025-05-23 10:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-12/eels-v-sea-eagles/,False,2025,5,23
Round 12,Panthers,0,Knights,0,Carrington Park,2025-05-24 07:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-12/panthers-v-knights/,False,2025,5,24
Round 12,Roosters,0,Sharks,0,Industree Group Stadium,2025-05-24 09:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-12/roosters-v-sharks/,False,2025,5,24
Round 12,Warriors,0,Raiders,0,Go Media Stadium,2025-05-25 06:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-12/warriors-v-raiders/,False,2025,5,25
Round 13,Dragons,0,Knights,0,Jubilee Stadium,2025-05-30 10:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-13/dragons-v-knights/,False,2025,5,30
Round 13,Titans,0,Storm,0,Cbus Super Stadium,2025-05-31 05:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-13/titans-v-storm/,False,2025,5,31
Round 13,Cowboys,0,Wests Tigers,0,Queensland Country Bank Stadium,2025-05-31 07:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-13/cowboys-v-wests-tigers/,False,2025,5,31
Round 13,Sea Eagles,0,Broncos,0,4 Pines Park,2025-05-31 09:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-13/sea-eagles-v-broncos/,False,2025,5,31
Round 13,Rabbitohs,0,Warriors,0,Accor Stadium,2025-06-01 04:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-13/rabbitohs-v-warriors/,False,2025,6,1
Round 13,Panthers,0,Eels,0,CommBank Stadium,2025-06-01 06:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-13/panthers-v-eels/,False,2025,6,1
Round 13,Roosters,0,Raiders,0,Allianz Stadium,2025-06-01 08:15:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-13/roosters-v-raiders/,False,2025,6,1
Round 14,Knights,0,Sea Eagles,0,McDonald Jones Stadium,2025-06-05 09:50:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-14/knights-v-sea-eagles/,False,2025,6,5
