Year,Round,HomeTeam,HomeScore,AwayTeam,AwayScore,Venue,Date,MatchCentreURL
2025,Round 22,Wests Tigers,0,Bulldogs,0,CommBank Stadium,2025-08-03T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-22/wests-tigers-v-bulldogs/
2025,Round 22,Sharks,0,Cowboys,0,Sharks Stadium,2025-08-03T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-22/sharks-v-cowboys/
2025,Round 23,Storm,0,Broncos,0,AAMI Park,2025-08-07T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-23/storm-v-broncos/
2025,Round 23,Knights,0,Panthers,0,McDonald Jones Stadium,2025-08-08T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-23/knights-v-panthers/
2025,Round 23,Raiders,0,Sea Eagles,0,GIO Stadium,2025-08-08T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-23/raiders-v-sea-eagles/
2025,Round 23,Dragons,0,Sharks,0,Jubilee Stadium,2025-08-09T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-23/dragons-v-sharks/
2025,Round 23,Dolphins,0,Roosters,0,Suncorp Stadium,2025-08-09T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-23/dolphins-v-roosters/
2025,Round 23,Bulldogs,0,Warriors,0,Accor Stadium,2025-08-09T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-23/bulldogs-v-warriors/
2025,Round 23,Titans,0,Rabbitohs,0,Cbus Super Stadium,2025-08-10T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-23/titans-v-rabbitohs/
2025,Round 23,Eels,0,Cowboys,0,CommBank Stadium,2025-08-10T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-23/eels-v-cowboys/
2025,Round 24,Panthers,0,Storm,0,CommBank Stadium,2025-08-14T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-24/panthers-v-storm/
2025,Round 24,Warriors,0,Dragons,0,Go Media Stadium,2025-08-15T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-24/warriors-v-dragons/
2025,Round 24,Roosters,0,Bulldogs,0,Allianz Stadium,2025-08-15T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-24/roosters-v-bulldogs/
2025,Round 24,Sharks,0,Titans,0,Sharks Stadium,2025-08-16T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-24/sharks-v-titans/
2025,Round 24,Broncos,0,Dolphins,0,Suncorp Stadium,2025-08-16T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-24/broncos-v-dolphins/
2025,Round 24,Rabbitohs,0,Eels,0,Allianz Stadium,2025-08-16T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-24/rabbitohs-v-eels/
2025,Round 24,Wests Tigers,0,Sea Eagles,0,Allianz Stadium,2025-08-17T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-24/wests-tigers-v-sea-eagles/
2025,Round 24,Cowboys,0,Knights,0,Queensland Country Bank Stadium,2025-08-17T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-24/cowboys-v-knights/
2025,Round 25,Rabbitohs,0,Dragons,0,Accor Stadium,2025-08-21T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-25/rabbitohs-v-dragons/
2025,Round 25,Panthers,0,Raiders,0,Glen Willow Oval,2025-08-22T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-25/panthers-v-raiders/
2025,Round 25,Storm,0,Bulldogs,0,AAMI Park,2025-08-22T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-25/storm-v-bulldogs/
2025,Round 25,Sea Eagles,0,Dolphins,0,4 Pines Park,2025-08-23T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-25/sea-eagles-v-dolphins/
2025,Round 25,Titans,0,Warriors,0,Cbus Super Stadium,2025-08-23T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-25/titans-v-warriors/
2025,Round 25,Eels,0,Roosters,0,CommBank Stadium,2025-08-23T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-25/eels-v-roosters/
2025,Round 25,Knights,0,Broncos,0,McDonald Jones Stadium,2025-08-24T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-25/knights-v-broncos/
2025,Round 25,Wests Tigers,0,Cowboys,0,Leichhardt Oval,2025-08-24T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-25/wests-tigers-v-cowboys/
2025,Round 26,Bulldogs,0,Panthers,0,Accor Stadium,2025-08-28T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-26/bulldogs-v-panthers/
2025,Round 26,Warriors,0,Eels,0,Go Media Stadium,2025-08-29T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-26/warriors-v-eels/
2025,Round 26,Storm,0,Roosters,0,AAMI Park,2025-08-29T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-26/storm-v-roosters/
2025,Round 26,Raiders,0,Wests Tigers,0,GIO Stadium,2025-08-30T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-26/raiders-v-wests-tigers/
2025,Round 26,Dragons,0,Sea Eagles,0,Jubilee Stadium,2025-08-30T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-26/dragons-v-sea-eagles/
2025,Round 26,Cowboys,0,Broncos,0,Queensland Country Bank Stadium,2025-08-30T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-26/cowboys-v-broncos/
2025,Round 26,Sharks,0,Knights,0,Sharks Stadium,2025-08-31T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-26/sharks-v-knights/
2025,Round 26,Dolphins,0,Titans,0,Suncorp Stadium,2025-08-31T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-26/dolphins-v-titans/
2025,Round 27,Broncos,0,Storm,0,Suncorp Stadium,2025-09-04T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/broncos-v-storm/
2025,Round 27,Sea Eagles,0,Warriors,0,4 Pines Park,2025-09-05T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/sea-eagles-v-warriors/
2025,Round 27,Roosters,0,Rabbitohs,0,Allianz Stadium,2025-09-05T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/roosters-v-rabbitohs/
2025,Round 27,Dragons,0,Panthers,0,WIN Stadium,2025-09-06T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dragons-v-panthers/
2025,Round 27,Titans,0,Wests Tigers,0,Cbus Super Stadium,2025-09-06T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/titans-v-wests-tigers/
2025,Round 27,Bulldogs,0,Sharks,0,Accor Stadium,2025-09-06T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/bulldogs-v-sharks/
2025,Round 27,Dolphins,0,Raiders,0,Kayo Stadium,2025-09-07T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dolphins-v-raiders/
2025,Round 27,Eels,0,Knights,0,CommBank Stadium,2025-09-07T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/eels-v-knights/
2025,Round 27,Broncos,0,Storm,0,Suncorp Stadium,2025-09-04T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/broncos-v-storm/
2025,Round 27,Sea Eagles,0,Warriors,0,4 Pines Park,2025-09-05T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/sea-eagles-v-warriors/
2025,Round 27,Roosters,0,Rabbitohs,0,Allianz Stadium,2025-09-05T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/roosters-v-rabbitohs/
2025,Round 27,Dragons,0,Panthers,0,WIN Stadium,2025-09-06T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dragons-v-panthers/
2025,Round 27,Titans,0,Wests Tigers,0,Cbus Super Stadium,2025-09-06T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/titans-v-wests-tigers/
2025,Round 27,Bulldogs,0,Sharks,0,Accor Stadium,2025-09-06T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/bulldogs-v-sharks/
2025,Round 27,Dolphins,0,Raiders,0,Kayo Stadium,2025-09-07T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dolphins-v-raiders/
2025,Round 27,Eels,0,Knights,0,CommBank Stadium,2025-09-07T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/eels-v-knights/
2025,Round 27,Broncos,0,Storm,0,Suncorp Stadium,2025-09-04T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/broncos-v-storm/
2025,Round 27,Sea Eagles,0,Warriors,0,4 Pines Park,2025-09-05T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/sea-eagles-v-warriors/
2025,Round 27,Roosters,0,Rabbitohs,0,Allianz Stadium,2025-09-05T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/roosters-v-rabbitohs/
2025,Round 27,Dragons,0,Panthers,0,WIN Stadium,2025-09-06T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dragons-v-panthers/
2025,Round 27,Titans,0,Wests Tigers,0,Cbus Super Stadium,2025-09-06T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/titans-v-wests-tigers/
2025,Round 27,Bulldogs,0,Sharks,0,Accor Stadium,2025-09-06T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/bulldogs-v-sharks/
2025,Round 27,Dolphins,0,Raiders,0,Kayo Stadium,2025-09-07T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dolphins-v-raiders/
2025,Round 27,Eels,0,Knights,0,CommBank Stadium,2025-09-07T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/eels-v-knights/
2025,Round 27,Broncos,0,Storm,0,Suncorp Stadium,2025-09-04T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/broncos-v-storm/
2025,Round 27,Sea Eagles,0,Warriors,0,4 Pines Park,2025-09-05T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/sea-eagles-v-warriors/
2025,Round 27,Roosters,0,Rabbitohs,0,Allianz Stadium,2025-09-05T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/roosters-v-rabbitohs/
2025,Round 27,Dragons,0,Panthers,0,WIN Stadium,2025-09-06T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dragons-v-panthers/
2025,Round 27,Titans,0,Wests Tigers,0,Cbus Super Stadium,2025-09-06T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/titans-v-wests-tigers/
2025,Round 27,Bulldogs,0,Sharks,0,Accor Stadium,2025-09-06T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/bulldogs-v-sharks/
2025,Round 27,Dolphins,0,Raiders,0,Kayo Stadium,2025-09-07T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dolphins-v-raiders/
2025,Round 27,Eels,0,Knights,0,CommBank Stadium,2025-09-07T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/eels-v-knights/
2025,Round 27,Broncos,0,Storm,0,Suncorp Stadium,2025-09-04T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/broncos-v-storm/
2025,Round 27,Sea Eagles,0,Warriors,0,4 Pines Park,2025-09-05T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/sea-eagles-v-warriors/
2025,Round 27,Roosters,0,Rabbitohs,0,Allianz Stadium,2025-09-05T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/roosters-v-rabbitohs/
2025,Round 27,Dragons,0,Panthers,0,WIN Stadium,2025-09-06T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dragons-v-panthers/
2025,Round 27,Titans,0,Wests Tigers,0,Cbus Super Stadium,2025-09-06T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/titans-v-wests-tigers/
2025,Round 27,Bulldogs,0,Sharks,0,Accor Stadium,2025-09-06T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/bulldogs-v-sharks/
2025,Round 27,Dolphins,0,Raiders,0,Kayo Stadium,2025-09-07T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dolphins-v-raiders/
2025,Round 27,Eels,0,Knights,0,CommBank Stadium,2025-09-07T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/eels-v-knights/
2025,Round 27,Broncos,0,Storm,0,Suncorp Stadium,2025-09-04T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/broncos-v-storm/
2025,Round 27,Sea Eagles,0,Warriors,0,4 Pines Park,2025-09-05T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/sea-eagles-v-warriors/
2025,Round 27,Roosters,0,Rabbitohs,0,Allianz Stadium,2025-09-05T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/roosters-v-rabbitohs/
2025,Round 27,Dragons,0,Panthers,0,WIN Stadium,2025-09-06T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dragons-v-panthers/
2025,Round 27,Titans,0,Wests Tigers,0,Cbus Super Stadium,2025-09-06T07:30:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/titans-v-wests-tigers/
2025,Round 27,Bulldogs,0,Sharks,0,Accor Stadium,2025-09-06T09:35:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/bulldogs-v-sharks/
2025,Round 27,Dolphins,0,Raiders,0,Kayo Stadium,2025-09-07T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dolphins-v-raiders/
2025,Round 27,Eels,0,Knights,0,CommBank Stadium,2025-09-07T06:05:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/eels-v-knights/
2025,Round 27,Broncos,0,Storm,0,Suncorp Stadium,2025-09-04T09:50:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/broncos-v-storm/
2025,Round 27,Sea Eagles,0,Warriors,0,4 Pines Park,2025-09-05T08:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/sea-eagles-v-warriors/
2025,Round 27,Roosters,0,Rabbitohs,0,Allianz Stadium,2025-09-05T10:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/roosters-v-rabbitohs/
2025,Round 27,Dragons,0,Panthers,0,WIN Stadium,2025-09-06T05:00:00Z,https://www.nrl.com/draw/nrl-premiership/2025/round-27/dragons-v-panthers/
